id,cty,state,pop18,pop65,hsgrad,bagrad,poverty,unemp,pcincome,region,crime_per1k,per_area,per_doc,per_bed
8,Wayne,MI,27.4,12.5,70,13.7,16.9,10,17461,North Central,91.85925755095334,0.29076278823518825,1.810400878539291,4.494037231843545
337,Webb,TX,28.5,7.9,47.8,11.1,33.1,9.8,8973,South,91.57979270333762,25.195325692927746,0.8030681707307921,2.8670284226089957
76,El_Paso,TX,29.5,8.1,63.7,15.2,22.4,10.8,11545,South,91.2797281993205,1.7122766687513733,1.3437906729095181,2.7889995098122076
202,Jefferso,TX,25.8,14,74.4,15.5,15.5,6.7,17418,South,90.54833602760269,3.7761542542304203,1.8755456417582508,7.201426918465979
3,Harris,TX,31.3,7.1,74.9,25.4,12.5,5.7,19517,South,89.96029024210142,0.6135123885857598,2.6800804343483193,4.417360165126736
411,Osceola,FL,27.1,13.9,73.7,11.2,6.9,6.7,16451,South,89.71669389573742,12.271647111243132,0.9096984999257388,2.701247586514184
196,Caddo,LA,25.2,13.3,73.4,18.2,19.1,7.1,16337,South,88.98583300101107,3.552827156167297,3.6172775354174975,7.524581777460897
90,Davidson,TN,32.1,11.6,75.9,24.4,10,4.6,19505,South,88.56385478010274,0.9828029069038967,4.489177421375767,7.531559328404962
34,Palm_Bea,FL,23.3,24.4,78.8,22.1,6.2,8.4,26798,South,88.17650587480516,2.285997512501187,2.122711975893959,3.6640811193281437
361,Wichita,TX,29.5,12.8,75.1,16.5,12.5,6.8,17119,South,87.65464380852768,5.131641308078249,1.9856510157054372,3.734331334063312
423,Gregg,TX,26.4,13.3,75.8,17.7,13.4,8.2,16775,South,87.48141936959256,2.610816785455654,1.5817357167359074,4.001981933910127
244,McLennan,TX,30,13.6,71.6,16.6,13.9,6.4,14925,South,87.17078303537909,5.5096418732782375,1.5915568175208727,2.9610359395737165
317,Horry,SC,28.2,12.7,74.3,16,11.6,7.7,14693,South,86.48900057617682,7.872102628893532,1.2148306526070267,3.5056541689517053
222,Chatham,GA,28.5,12.8,73.7,18.6,13.6,4.3,17776,South,86.34844538686704,2.0282573120980936,2.2771798004010417,5.125959388757001
286,Shawnee,KS,26.2,13.1,84.4,22.3,7.4,4.7,19558,North Central,86.00660968094623,3.416658383858463,2.80165987476394,4.106202166782626
30,Franklin,OH,33.5,9.6,81,26.6,9.1,4.2,19040,North Central,85.99627432686698,0.5616592662857786,2.7822935876193653,4.171880216800477
99,Bernalil,NM,29.2,10.5,82.1,26.7,10.9,5.2,17518,West,85.89674495450261,2.42625011184472,3.2981187197889206,3.591516031770143
98,San_Joaq,CA,27.7,11.1,68.6,13.2,12,12,15453,West,85.67748861905673,2.910775069284353,1.3856870594305783,2.186722371563871
2,Cook,IL,29.2,12.4,73.4,22.8,11.1,7.2,21729,North Central,85.58869060876184,0.18530608902880216,2.9682274493165317,4.221296214133918
65,Pima,AZ,28.9,13.7,80.5,23.3,12,3.9,15191,West,85.54912428023033,13.776091650671784,2.7606166026871404,3.0230326295585415
21,Broward,FL,25.3,20.7,76.8,18.8,7.1,7.4,22355,South,85.53327471071009,0.962972166998012,1.9562114492531988,4.415016312382117
220,Galvesto,TX,26.9,10.5,75.8,19.3,12.5,7,17744,South,85.49257356289587,1.8353350291399684,4.369845307476115,7.322940767896816
68,Jefferso,AL,26.7,14,73.8,19.9,12.7,5.3,18624,South,85.3443843290741,1.7082997582594681,3.8862668355013237,7.063428110970415
258,Durham,NC,33.7,10.7,78.9,33.4,8.7,3.6,19238,South,85.11562680452057,1.6003519674430116,10.691011081474965,8.227238980394313
257,Clayton,GA,32.4,5.8,77.2,14.7,7.3,5.8,16171,South,84.69558148221387,0.7854898600399886,1.0491507920813834,1.9005558851317208
302,Bibb,GA,27.5,12.9,68.2,17,15.9,4.1,17548,South,84.6919655657578,1.6670334140177505,2.920642541359099,6.734814992631713
120,Sedgwick,KS,28.5,11.4,82.4,22.2,8.3,4.5,19276,North Central,84.40477429136257,2.4773201341716584,2.3039077247796427,4.558269046875852
166,Richland,SC,34.7,9.5,79.4,28,10.1,4.6,17137,South,84.35181296374073,2.6494470110597788,3.496430071398572,4.224415511689767
20,Alameda,CA,30.8,10.6,81.4,28.8,8.1,5.3,22148,West,83.91143715280546,0.5769311950918634,2.477364440712893,2.5672656432001077
7,Maricopa,AZ,29.2,12.5,81.5,22.1,8.8,4.9,18042,West,83.68734570126493,4.3372110940996675,2.0357183753270935,2.876394667360319
230,Montgome,AL,28.4,11.6,75.3,24.2,14.1,5.9,17469,South,83.16235024033287,3.7783676495205296,2.003969677403927,5.270583733888131
12,King,WA,30.1,11.1,88.2,32.8,5,4.6,23779,West,82.90149596734334,1.4104512714296045,3.5029081435316614,2.659689156708036
104,Lucas,OH,27.8,13,76.2,17,12,8.8,17815,North Central,82.60644820821825,0.7353561394667802,3.008471735289092,6.533855580379833
167,Hamilton,TN,26.3,13.5,72.5,19.7,10.2,5.9,18242,South,82.41342597781015,1.901686652471142,2.584612798386193,5.508937577048078
298,Tuscaloo,AL,33.3,11.4,69.6,20,13.5,5.4,15113,South,82.22718273740716,8.802699937550658,1.9864205896812426,4.856432946678891
23,Riversid,CA,27.9,13.2,74.1,14.6,8.4,10.7,17185,West,81.59000284514953,6.15850985934025,1.183342973804973,2.080462195823184
144,Guilford,NC,30.4,11.9,76.1,24.8,7.3,5.4,20349,South,81.20430602728686,1.8709343158137126,1.945771688446261,3.419492257210293
40,Shelby,TN,29.4,10.4,75.1,20.8,14.7,5.4,18430,South,81.12013360279792,0.9136785545726284,3.012113804412281,5.951617392567134
179,Forsyth,NC,29.2,12.3,77.6,24.1,7.8,4.4,20645,South,81.06725641083506,1.542060644355682,4.490781486245572,6.051647748215347
26,Sacramen,CA,29.7,10.6,82.2,23,9.8,6.3,18934,West,80.96759663432957,0.9277587135847501,2.366457008564,2.7419783926340187
52,Salt_Lak,UT,27.8,8.5,85.3,23.8,7.7,4.5,15399,West,80.73492057369869,1.0152130432147402,2.88447233716644,2.859677446016012
130,Mobile,AL,26.7,11.8,70.1,15.5,17.5,7.2,14389,South,80.31047715130083,3.2563654946744034,2.2448586135224997,5.012637233489065
245,Yakima,WA,25.1,13,66.1,13.7,15.6,11.6,15374,West,80.17561419954137,22.751465658314928,1.2233679159848112,2.743309872208364
102,Denver,CO,30.3,13.8,79.2,29,13.1,5.4,22156,West,80.1223241590214,0.32719574003977675,6.131177690810718,7.809927075982122
229,Manatee,FL,21,28.1,75.6,15.5,6.8,5.8,17997,South,79.90288464717747,3.5001204494891525,1.5209700198859746,4.03860051864133
92,Tulsa,OK,28.2,11.5,81.7,23.7,10,6.1,19295,South,78.46767896912829,1.1324330821451065,2.300627208989532,4.990652460260539
193,Winnebag,IL,26.5,12.7,76.3,16.7,7.7,7.9,18376,North Central,77.78959563169943,2.032319414185906,2.0599969159355194,3.598075227449755
1,Los_Ange,CA,32.1,9.7,70,22.3,11.6,8,20786,West,77.73025524519235,0.45807569396211106,2.6713936467834736,3.125294759298147
59,Orange,FL,33.2,10.6,78.8,21.2,7.8,6.6,17879,South,77.60545896550656,1.3402392061296757,2.0177389810344346,4.323304663825792
297,Smith,TX,26.2,13.7,75.7,19.8,12.6,6.6,17511,South,77.40451658526591,6.139753748950823,2.306538275978296,5.254148794850273
213,Fayette,KY,34.9,9.9,80.2,30.6,10.2,3.8,19320,South,77.11012308866466,1.2646095684353451,5.537658741780038,8.213306354995874
113,Genesee,MI,27.2,10.2,76.8,12.8,14,12.6,16829,North Central,76.97829526156963,1.4867850364378488,1.607586320648424,4.251275963564474
225,Lancaste,NE,33.9,10.8,88.1,27.6,6,2.2,17816,North Central,76.8298219910972,3.927148815068269,1.8208115483451208,3.6416230966902416
31,Milwauke,WI,29.3,13.6,76.3,19.3,12.6,4.9,18431,North Central,76.8090485001694,0.25227385264913604,2.8917672200359648,4.316801751322614
396,Alexandr,VA,38.3,10.3,86.9,48.5,4.7,4.6,31699,South,76.7833211911893,0.13491271147567524,5.86420585880935,5.9541476664598
287,Muskegon,MI,25.8,13,74.2,11.1,12.4,12,14767,North Central,76.61825478195782,3.201600171087475,1.1447764855361895,4.151387255241127
45,Marion,IN,30.6,11.7,76.8,21.4,9.3,5,19148,North Central,76.52676567660906,0.496764133629552,3.6830795362029405,5.838233025030139
228,Saginaw,MI,25.5,12,74.8,13,14.7,8.8,16904,North Central,76.38738169156295,3.817009993111453,1.5805912826852124,5.628792239532711
237,Marion,FL,21.6,22.1,69.6,11.5,10.8,8.6,13802,South,76.27044699819847,8.104376568651102,1.2061611739284412,2.3148029337945832
211,Spartanb,SC,27,12.6,63,14.3,8.8,5.5,15776,South,75.8289241622575,3.575837742504409,1.6534391534391533,3.6684303350970016
283,Berrien,MI,25.2,13.7,74.7,16.7,11.6,9.1,16232,North Central,75.77860674937104,3.53827659284413,1.2331296707110013,4.263282479644065
325,Yolo,CA,36.5,9.6,79.1,30.3,9.8,7.2,19727,West,75.48266379383664,7.172624953930768,2.4026876080855044,1.1907124429450289
51,Prince_G,MD,33.7,6.9,83.2,25.5,3.7,5,19568,South,74.68996308627281,0.6664216721424772,1.7181612246800901,1.8127766472682196
322,Ouachita,LA,28.3,11.2,71.6,18.9,19.6,6.4,13869,South,74.58277950081228,4.29703708392233,1.8847887700346717,7.335204056515532
177,Denton,TX,36.9,5,86.8,32.3,4.5,5.6,17801,South,74.4794808518417,3.250159948816379,0.7896901562928434,1.6744356091764923
191,Washoe,NV,29.5,10.3,82.5,20.7,6.3,5,21327,West,73.94362049264333,24.907035461995466,2.3677979479084454,3.887429466715358
386,Florence,SC,26.2,11.2,64.3,14.8,15.9,5.9,14961,South,73.64619044287414,6.9876862799972015,1.8453088924648429,6.392989575316588
404,Imperial,CA,25.5,10.2,53.2,9.7,20.8,21.3,14523,West,73.57529070565309,38.19657282965701,0.7502081370136227,2.02190241804891
82,Hudson,NJ,31.5,12.7,64.1,19.7,12.4,9,18463,Northeast,73.37022847627641,0.08497574575256871,1.873082395737472,4.4169307845430925
272,Arlingto,VA,37.6,11.3,87.5,52.3,4.3,3.6,30242,South,73.27888800486731,0.15210371133055647,3.5978377872420086,4.568961482660177
36,Pinellas,FL,22.4,26,78.1,18.5,6.2,6.2,21610,South,73.2030073069151,0.3287700828618027,1.9021697651290013,5.234489390706844
181,Adams,CO,29.6,7.6,78.8,13,8.8,5,16116,West,73.08008662908715,4.497468287566311,1.6563662569141029,1.1998279491997375
188,Cameron,TX,25.9,10.6,50,12,33.7,12.5,9728,South,72.43579886206366,3.483007842534215,1.0379824696294018,3.1716131016453946
341,York,SC,28.7,10.6,67.5,16.9,7.6,5.5,16713,South,72.43511258811988,5.194034844901404,0.9201730837965886,2.0989071994037887
291,Clay,MO,28.3,10.4,84.7,20,4.2,5.7,18395,North Central,72.25687858106656,2.587819647874012,0.7039912392201341,4.5172771183291935
333,Calhoun,MI,25.1,13.3,76.8,13.8,11,8.5,15944,North Central,72.14190113397362,5.213925372475768,1.2648732920533599,4.162315600594196
77,Pierce,WA,29.5,10.5,83.2,17.5,8.7,6.4,16194,West,71.61341719506724,2.8590778279879157,1.5608927282869587,2.091425666535313
173,Sarasota,FL,18.2,32.1,81.3,21.9,4.6,5.1,24948,South,71.2840562179598,2.0592131789643453,2.2716145383330453,4.906831403720984
49,Clark,NV,29,10.5,77.3,13.8,7.5,5.8,18625,West,71.19206861067167,10.669504315140824,1.3068827811112955,2.7122200957841227
439,Maui,HI,26.2,11.3,77,17.8,5.7,3.2,18504,West,71.03433159981668,11.546814912228266,1.912845956124096,1.813218562575966
416,Midland,TX,26.8,9,76.8,26.4,11.5,5.4,19345,South,70.78068867190065,8.441905619495174,1.3038054234553658,3.1235050792132144
126,Arapahoe,CO,28.3,7.4,91.5,35.2,4.4,3.9,22507,West,70.46289887129609,2.0510279404665512,1.4891024773250303,1.8952213347773115
360,Pueblo,CO,24.1,15.2,73.9,14,16.7,7,14197,West,70.214788989931,19.41471422418347,2.1048183273602,4.51032498720043
267,Clevelan,OK,33.9,6.7,83.9,25.9,7,4.8,14443,South,69.97870911835089,3.075987213993446,1.245315719098093,1.8306714948953533
128,Hidalgo,TX,26.4,10.1,46.6,11.5,36.3,17.6,8899,South,69.64502209649454,4.090784653691223,0.8108566139566413,2.2422401543495547
4,San_Dieg,CA,33.5,10.9,81.9,25.3,8.1,6.1,19588,West,69.58362156207167,1.683335895366563,2.3638759719713565,2.4735630196123646
430,Sumter,SC,31.6,9.4,69.8,15,16.9,9.4,11803,South,69.54607013065464,6.488888022837768,0.8573906096242095,2.0850180734043278
27,Hennepin,MN,31.6,11.3,88.2,31.6,6.4,4.3,23705,North Central,69.49907548301049,0.5395033663266601,3.5895861321482982,5.225530810291438
132,Volusia,FL,24.3,22.8,75.4,14.8,7.9,6.9,15648,South,69.42316407345864,2.9834480675025357,1.3352683484753662,3.638943438572261
273,Newport_,VA,33.9,9.3,79.3,18.4,12.2,6.5,15327,South,69.2522567555647,0.39989414566732334,2.0818018759740067,4.916345673204152
93,Camden,NJ,27.5,12.2,75.5,21,8,6.9,19930,Northeast,69.23694970804894,0.44150637201088255,2.4959031390705295,4.059074348082033
11,Philadel,PA,29.1,15.2,64.3,15.2,16.1,8,16721,Northeast,68.83803183320646,0.08514250648186748,4.188380633674681,6.618410837190499
133,Stanisla,CA,27.4,10.8,68.4,13,11.4,14.3,15238,West,68.71656743729116,4.034848133174279,1.5059834503754161,3.524756964498734
307,Clark,OH,25.3,13.8,73.4,12.2,10.4,6.5,16676,North Central,68.66240138802287,2.7109821888470194,1.1724997966763357,3.1379618835904246
216,Kalamazo,MI,32.4,10.6,83.4,27.1,8.9,5.9,18288,North Central,68.51050306385987,2.5155431021749153,2.748297979956224,3.5495118861649604
168,Washtena,MI,39.5,7.5,87.2,41.9,6.4,6,22782,North Central,68.44986693150771,2.509392550285046,7.733170281723494,6.114435369004408
253,Peoria,IL,26,14.2,77.9,19.5,11.3,7.2,18342,North Central,68.27766139574571,3.3911840154900537,3.1778676016124536,6.667505346584476
352,Bay,FL,27.7,12,74.7,15.7,11.2,8,14814,South,67.98746397467596,6.01603225349229,1.4016410224105076,3.7639573523158574
264,Gaston,NC,27.3,12.1,60.9,10.8,8.2,6.2,16319,South,67.76398828051379,2.0389164615375828,0.8109975841409994,2.1017402180555473
57,Baltimor,MD,27.8,14,78.4,25,3.8,5.7,23470,South,67.60107146881963,0.8654393513394805,1.8334599947409027,0.9261212424183757
363,Brazos,TX,49.4,6.7,79.8,35.8,14.9,3.6,12641,South,67.31384681032644,4.808718058131329,1.3950205970688154,2.2894749798952914
263,Sangamon,IL,25.8,13.8,81.8,22.4,7.2,4.8,19601,North Central,66.87183971836355,4.865852701445181,3.363492650768558,7.45574204253697
85,Kern,CA,28.3,9.7,67.6,13.3,13.7,11.8,15881,West,66.82527503463807,14.981314756650235,1.2548829113283542,2.196965096959025
149,Knox,TN,30,12.7,74.6,23.9,10.2,4.6,17382,South,66.78203062406739,1.5160134505240521,2.930760776651606,6.486988792222761
183,Collin,TX,29.8,5.3,88.3,39.1,3.9,5.9,22303,South,66.75226105531064,3.2116832553136696,1.0680361768849702,2.1625838900755956
269,Champaig,IL,41.6,8.8,87.5,34.1,8,4.5,16957,North Central,66.51061985262245,5.762173096373356,2.2077734431440543,4.652506863170062
33,Hamilton,OH,28,13.3,75.6,23.7,10.3,4.5,20580,North Central,66.04265851484828,0.46985320262101893,3.6526180174272826,5.406197906324893
159,Allen,IN,27.4,11.4,81.2,19,5.6,5.9,19123,North Central,65.95620205028654,2.183914159209669,1.834886782167028,4.214921086572085
43,New_Have,CT,28.7,14.7,77.5,24.2,6,7.3,22197,Northeast,65.78183305791084,0.7535260917735095,3.9305214126997745,3.091197795625321
331,Cumberla,NJ,26.7,13.5,63.4,10.8,10.2,10.7,16819,Northeast,65.70664889571397,3.5421178822626094,1.3110906680767531,3.8680796505689843
301,St._Luci,FL,22.9,21,71.7,13.1,8.5,13.8,14137,South,65.53861930732297,3.8156501588189466,1.1719972564609678,2.8301070113404054
334,Dona_Ana,NM,31.4,8.8,70.4,21.9,20.7,7.4,11379,West,65.3088332964357,28.093867611246402,1.261899490812486,1.7710870046491034
217,Lubbock,TX,34.1,9.8,74.2,23.4,13.2,5.6,15443,South,65.16915503332794,4.042472915431467,2.942021955119567,7.015936326559945
231,Greene,MO,31,13.3,78.9,20.7,9.2,4.8,16630,North Central,65.16501642229586,3.24598819902957,2.356346988925169,8.5838354596559725
438,Montgome,TN,35.7,7.9,77.9,16.5,10.8,8,13169,South,65.04607056856852,5.363290811757448,0.8656888694302374,1.8706839937113175
209,Marion,OR,25.7,14.3,78.7,17.5,9.4,5.7,16022,West,64.88447718210982,5.186381481335592,1.6456366556811668,2.179593230130907
279,Lafayett,LA,31.1,8.3,73.3,22.5,16.2,5,16868,South,64.32915356696326,1.6387273764581638,2.1910391959311006,6.178609145312633
153,Greenvil,SC,28.2,11.9,71.6,21,7.8,4.9,17874,South,64.041578301324,2.473709033098352,2.0301904943357685,4.241536448166113
145,Solano,CA,29.7,8.2,82.7,18.7,6,7,17268,West,63.909100789904265,2.432282379759181,1.4129563099808766,1.4775821703126424
80,Montgome,OH,28.1,12.6,77.8,20,9.8,5.7,18410,North Central,63.897568703174755,0.8051459632037838,2.288217856464433,5.346726872530755
261,Muscogee,GA,30.6,10.8,71.5,16.6,14.9,4.6,15505,South,63.88960162429299,1.2048327179018061,2.0080545298363437,6.5150213634690255
44,Contra_C,CA,26.5,10.9,86.5,31.6,5.5,5.6,25523,West,63.75632673577759,0.8958209950580541,2.1910288504128244,2.2159127669422145
122,El_Paso,CO,31.7,8,88.3,25.8,8.1,6.1,16807,West,63.559471454407145,5.357493690398827,1.380303969129552,2.584291737822847
265,Racine,WI,26,12,76.4,16.5,7.9,6.5,18426,North Central,63.473382314293225,1.9024875167110389,1.3368831198510003,3.039409486156975
354,Richland,OH,25,12.9,73.5,11.6,8.4,9.4,16191,North Central,63.24076202858796,3.940160301893972,1.1416158621181731,3.6706121122271815
94,Kent,MI,29.6,10.8,80.3,20.7,6.9,7.5,18674,North Central,63.02646060671432,1.7098421791698875,2.011461535542146,2.9163196046589204
97,Ramsey,MN,31,12.2,85,28.8,8.1,4.3,20303,North Central,62.93989892231841,0.32114293948720063,3.1126161827220984,2.346813788560312
100,Lake,IN,25.5,12.3,73.5,12.8,11.7,7.1,16327,North Central,62.923417873228,1.0450089782461511,1.4865620676459332,5.073655260579402
109,New_Cast,DE,30.6,11.4,80.6,25.2,5,6.2,22284,Northeast,62.715806908536344,0.9639186687966402,2.3487032352368837,3.3669271811488284
214,Boulder,CO,34.2,7.6,91.3,42.1,5.6,3.5,21421,West,62.67889712832665,3.2972543589880137,2.0058667163695585,1.7174124319358832
335,Hampton_,VA,33,9.6,79.7,19.1,8.8,6.8,14743,South,62.60417211662793,0.3886600943248152,1.2182999110566322,1.8760323783755501
155,Tulare,CA,26.3,10.8,60.2,11.8,18,17.1,14710,West,62.48056398895874,15.46545439390102,1.1477265076734173,2.1030966174127426
118,Douglas,NE,29,11.4,84.5,24.9,8.1,2.9,19629,North Central,62.44777208940458,0.794824754348724,3.84925704296376,6.937307297019527
294,Collier,FL,22.4,22.8,79,22.3,6.4,7.5,25589,South,61.97279403546374,13.320271665165452,1.8540555822194753,2.833680694810617
152,Mercer,NJ,29.2,13,77.1,29.5,5.3,5.5,26026,Northeast,61.85241111765861,0.6936260066784522,3.0507267727362013,5.291200157140051
108,Cobb,GA,31.7,6.3,85.8,33,3.8,4.1,21933,South,61.602027940010494,0.759360796882154,1.3891835754726463,2.1954460686328154
170,Ingham,MI,37.4,8.7,83.9,29.2,11,6.9,17458,North Central,61.49791424274242,1.9828882771928826,2.5859133346576235,5.1008825449076305
115,Wake,NC,34.5,7.8,85.4,35.3,5.5,3.5,20658,South,61.42472483348292,1.9698615900609384,1.7974396523217913,2.8319712787566726
96,Union,NJ,26.8,15,75.2,25,5.3,6.9,26248,Northeast,61.356488915979334,0.2085784467588327,2.758095577529419,5.1456100312057655
55,Monroe,NY,29,12.5,80.1,26.3,7.7,4.4,21641,Northeast,61.31927481343702,0.9230105550949061,3.4147188669520205,4.309716962104744
37,Honolulu,HI,30.6,11,81.2,24.6,5.4,2.3,21307,West,61.026199698408696,0.7175050912965437,2.4215796831258345,2.5997601141311435
35,Hartford,CT,28.3,14.1,77.7,25.8,6,6.9,24875,Northeast,60.961535978060134,0.8640698393839745,3.3470966196789558,3.451583325800116
165,Seminole,FL,27.9,10.3,84.6,26.3,5.3,6.1,17885,South,60.9260283310553,1.0711962967213742,1.241613889381593,1.224224339110142
368,Hawaii,HI,22.5,12.6,77.7,18.5,10.9,4,16728,West,60.0580134145632,33.478228346783915,1.512670694914268,3.2497485808323012
5,Orange,CA,32.6,9.2,81.2,27.8,5.2,4.8,24400,West,59.9546328730799,0.32772522189901415,2.5147725255086377,2.6421290357909126
338,Weld,CO,29.6,10.2,74.9,18.4,10.6,4.5,15874,West,59.93733927067766,30.291076535605104,1.3047996904893757,2.1316785641134572
208,Santa_Cr,CA,29.9,11.3,81.9,29.7,6.2,8,22025,West,59.66465564522448,1.941375677957986,1.8673770534618297,1.6976155031471178
125,VA_Beach,VA,35.3,5.9,88,25.5,4.3,5.4,17697,South,59.562061622768525,0.6309324825921149,1.7274320793550242,1.348363773281536
121,Brevard,FL,26.2,16.6,82.3,20.4,6.3,7.1,17668,South,59.36668187218343,2.5540255352425447,1.4111053742311606,2.719448190125771
14,San_Bern,CA,30.1,8.8,75.4,14.9,10.3,8,16399,West,58.5950168502094,14.14430547526051,1.736488106149269,2.361144404179416
275,Lexingto,SC,27.8,8.9,77.3,21,6.3,4.1,18126,South,58.55224299121179,4.182303070800843,0.8650983527334125,1.5452446438479575
106,Passaic,NJ,28.9,12.9,68.8,18.7,7.6,8.1,21973,Northeast,58.3454730057829,0.40833443693991966,1.8341941464706661,4.220191586103386
75,Providen,RI,29.9,15.8,67,18.3,8.9,9,17866,Northeast,58.0726851929495,0.6926392406124742,3.1227464068291213,3.9579385177855673
288,Weber,UT,26,11.1,82.5,18,7.8,5.7,15301,West,58.04964315038212,3.6379713257121202,1.6800353691656666,3.619023558390703
378,Catawba,NC,27.2,11.9,66.7,14.2,4.8,6.4,17396,South,57.6799648684255,3.378036009863865,1.5116711144140795,3.9185217714420832
304,Jackson,MI,27.1,12.3,77.7,12.9,9.4,9.9,15750,North Central,57.62707337268624,4.721012847565373,0.8480461550789284,3.826223991025401
54,Macomb,MI,28.2,12.3,76.9,13.5,4,9.4,20924,North Central,57.2177306941734,0.6690827989963758,0.9827153610259269,1.6754948424867577
29,Erie,NY,27.3,15.2,76.4,20,9.4,6.8,18305,Northeast,57.10291451392416,1.078952476531493,2.837283641634969,4.782495570616149
